service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2024_01_15-SA-MVS-Saturday-01,0,0,0,0,0,1,0,20240115,20240810
2024_01_15-DX-MVS-Weekday-01,1,1,1,1,1,0,0,20240116,20240809
2024_01_15-SU-MVS-Sunday-01,0,0,0,0,0,0,1,20240121,20240811
2024_01_15-SA-MVS-Saturday-65,0,0,0,0,0,1,0,20240217,20240413
2024_01_15-SU-MVS-Sunday-65,0,0,0,0,0,0,1,20240218,20240414
2024_01_15-SA-MVS-Saturday-25,0,0,0,0,0,1,0,20240427,20240427
2024_01_15-SU-MVS-Sunday-25,0,0,0,0,0,0,1,20240428,20240428
2024_01_15-SA-MVS-Saturday-85,0,0,0,0,0,1,0,20240511,20240511
2024_01_15-SU-MVS-Sunday-85,0,0,0,0,0,0,1,20240512,20240512
2024_01_15-SU-MVS-Sunday-12,0,0,0,0,0,0,1,20240519,20240519
2024_01_15-SA-MVS-Saturday-81,0,0,0,0,0,1,0,20240601,20240601
2024_01_15-SU-MVS-Sunday-81,0,0,0,0,0,0,1,20240602,20240602
2024_01_15-SA-MVS-Saturday-23,0,0,0,0,0,1,0,20240622,20240720
2024_01_15-SU-MVS-Sunday-23,0,0,0,0,0,0,1,20240623,20240721
2024_01_15-SU19-Sunday-01,0,0,0,0,0,0,1,20240115,20240811
2024_01_15-DX19-Weekday-01,1,1,1,1,1,0,0,20240116,20240809
2024_01_15-SA19-Saturday-01,0,0,0,0,0,1,0,20240120,20240810
2024_01_15-SU20-Sunday-01,0,0,0,0,0,0,1,20240115,20240811
2024_01_15-DX20-Weekday-01,1,1,1,1,1,0,0,20240116,20240809
2024_01_15-SA20-Saturday-01,0,0,0,0,0,1,0,20240120,20240810
