service_id,date,exception_type
2024_01_15-SA-MVS-Saturday-01,20240217,2
2024_01_15-SA-MVS-Saturday-01,20240316,2
2024_01_15-SA-MVS-Saturday-01,20240413,2
2024_01_15-SA-MVS-Saturday-01,20240427,2
2024_01_15-SA-MVS-Saturday-01,20240511,2
2024_01_15-SA-MVS-Saturday-01,20240601,2
2024_01_15-SA-MVS-Saturday-01,20240622,2
2024_01_15-SA-MVS-Saturday-01,20240720,2
2024_01_15-SA-MVS-Saturday-01,20240115,1
2024_01_15-DX-MVS-Weekday-01,20240219,2
2024_01_15-DX-MVS-Weekday-01,20240527,2
2024_01_15-DX-MVS-Weekday-01,20240704,2
2024_01_15-SU-MVS-Sunday-01,20240218,2
2024_01_15-SU-MVS-Sunday-01,20240317,2
2024_01_15-SU-MVS-Sunday-01,20240414,2
2024_01_15-SU-MVS-Sunday-01,20240428,2
2024_01_15-SU-MVS-Sunday-01,20240512,2
2024_01_15-SU-MVS-Sunday-01,20240519,2
2024_01_15-SU-MVS-Sunday-01,20240602,2
2024_01_15-SU-MVS-Sunday-01,20240623,2
2024_01_15-SU-MVS-Sunday-01,20240721,2
2024_01_15-SU-MVS-Sunday-01,20240527,1
2024_01_15-SU-MVS-Sunday-01,20240704,1
2024_01_15-SA-MVS-Saturday-65,20240224,2
2024_01_15-SA-MVS-Saturday-65,20240302,2
2024_01_15-SA-MVS-Saturday-65,20240309,2
2024_01_15-SA-MVS-Saturday-65,20240323,2
2024_01_15-SA-MVS-Saturday-65,20240330,2
2024_01_15-SA-MVS-Saturday-65,20240406,2
2024_01_15-SA-MVS-Saturday-65,20240219,1
2024_01_15-SU-MVS-Sunday-65,20240225,2
2024_01_15-SU-MVS-Sunday-65,20240303,2
2024_01_15-SU-MVS-Sunday-65,20240310,2
2024_01_15-SU-MVS-Sunday-65,20240324,2
2024_01_15-SU-MVS-Sunday-65,20240331,2
2024_01_15-SU-MVS-Sunday-65,20240407,2
2024_01_15-SA-MVS-Saturday-23,20240629,2
2024_01_15-SA-MVS-Saturday-23,20240706,2
2024_01_15-SA-MVS-Saturday-23,20240713,2
2024_01_15-SU-MVS-Sunday-23,20240630,2
2024_01_15-SU-MVS-Sunday-23,20240707,2
2024_01_15-SU-MVS-Sunday-23,20240714,2
2024_01_15-SU19-Sunday-01,20240115,1
2024_01_15-SU19-Sunday-01,20240527,1
2024_01_15-SU19-Sunday-01,20240704,1
2024_01_15-DX19-Weekday-01,20240219,2
2024_01_15-DX19-Weekday-01,20240527,2
2024_01_15-DX19-Weekday-01,20240704,2
2024_01_15-SA19-Saturday-01,20240219,1
2024_01_15-SU20-Sunday-01,20240115,1
2024_01_15-SU20-Sunday-01,20240527,1
2024_01_15-SU20-Sunday-01,20240704,1
2024_01_15-DX20-Weekday-01,20240219,2
2024_01_15-DX20-Weekday-01,20240527,2
2024_01_15-DX20-Weekday-01,20240704,2
2024_01_15-SA20-Saturday-01,20240219,1
