route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2024_01_15-DX-MVS-Weekday-01,1508825,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508776,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508819,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508773,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508824,"OAK Airport / SF / Daly City",1,,005B_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508775,"Berryessa/North San Jose",0,,006B_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508777,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508772,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508778,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508774,"Berryessa/North San Jose",0,,006B_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508771,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508779,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508723,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508780,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508781,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508724,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508782,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508783,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508725,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508784,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508726,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508727,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508785,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508728,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508786,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508729,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508787,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508788,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508730,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508789,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508790,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508731,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508791,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508732,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508792,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508733,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508793,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508734,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508794,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508735,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508795,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508736,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508796,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508737,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508797,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508738,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
5,2024_01_15-DX-MVS-Weekday-01,1508798,"OAK Airport / SF / Daly City",1,,005A_shp,,0,0
6,2024_01_15-DX-MVS-Weekday-01,1508739,"SF / OAK Airport / Berryessa",0,,006A_shp,,0,0
