fare_id,route_id,origin_id,destination_id,contains_id
323243,,74224,74228,
323243,,74228,74224,
323242,,74225,74228,
323242,,74224,74227,
323242,,74228,74225,
323242,,74227,74224,
323241,,74223,74228,
323241,,74225,74227,
323241,,74224,74226,
323241,,74228,74223,
323241,,74227,74225,
323241,,74226,74224,
323240,,74223,74224,
323240,,74223,74227,
323240,,74225,74226,
323240,,74224,74223,
323240,,74228,74226,
323240,,74227,74223,
323240,,74226,74225,
323240,,74226,74228,
323239,,74223,74225,
323239,,74223,74226,
323239,,74225,74223,
323239,,74225,74224,
323239,,74224,74225,
323239,,74228,74227,
323239,,74227,74228,
323239,,74227,74226,
323239,,74226,74223,
323239,,74226,74227,
323238,,74223,74223,
323238,,74225,74225,
323238,,74224,74224,
323238,,74228,74228,
323238,,74227,74227,
323238,,74226,74226,
