trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
BB624,7:50:00,7:50:00,SFS,1,,0,0,0.00000000,1
BB624,8:12:00,8:12:00,ML,2,,0,0,22424.46720607,1
BB624,8:34:00,8:34:00,HLS,3,,0,0,36205.47891025,1
BB624,8:52:00,8:52:00,RC,4,,0,0,46982.96813809,1
BB624,9:18:00,9:18:00,PAS,5,,0,0,54792.88269199,1
BB624,9:50:00,9:50:00,MVS,6,,0,0,65429.55335732,1
BB628,9:00:00,9:00:00,SFS,1,,0,0,0.00000000,1
BB628,9:22:00,9:22:00,ML,2,,0,0,22424.46720607,1
BB628,9:44:00,9:44:00,HLS,3,,0,0,36205.47891025,1
BB628,10:02:00,10:02:00,RC,4,,0,0,46982.96813809,1
BB628,10:28:00,10:28:00,PAS,5,,0,0,54792.88269199,1
BB628,11:00:00,11:00:00,MVS,6,,0,0,65429.55335732,1
BB632,10:20:00,10:20:00,SFS,1,,0,0,0.00000000,1
BB632,10:42:00,10:42:00,ML,2,,0,0,22424.46720607,1
BB632,11:04:00,11:04:00,HLS,3,,0,0,36205.47891025,1
BB632,11:22:00,11:22:00,RC,4,,0,0,46982.96813809,1
BB632,11:48:00,11:48:00,PAS,5,,0,0,54792.88269199,1
BB632,12:20:00,12:20:00,MVS,6,,0,0,65429.55335732,1
BB621,7:50:00,7:50:00,MVN,1,,0,0,0.00000000,1
BB621,8:09:00,8:09:00,PAN,2,,0,0,10635.47059944,1
BB621,8:32:00,8:32:00,RC,3,,0,0,18284.42254921,1
BB621,8:53:00,8:53:00,HLN,4,,0,0,29904.91462958,1
BB621,9:13:00,9:13:00,ML,5,,0,0,44089.09334116,1
BB621,9:46:00,9:46:00,SFN,6,,0,0,67916.69373937,1
BB625,9:50:00,9:50:00,MVN,1,,0,0,0.00000000,1
BB625,10:09:00,10:09:00,PAN,2,,0,0,10635.47059944,1
BB625,10:32:00,10:32:00,RC,3,,0,0,18284.42254921,1
BB625,10:53:00,10:53:00,HLN,4,,0,0,29904.91462958,1
BB625,11:13:00,11:13:00,ML,5,,0,0,44089.09334116,1
BB625,11:46:00,11:46:00,SFN,6,,0,0,67916.69373937,1
BB629,10:40:00,10:40:00,MVN,1,,0,0,0.00000000,1
BB629,10:59:00,10:59:00,PAN,2,,0,0,10635.47059944,1
BB629,11:22:00,11:22:00,RC,3,,0,0,18284.42254921,1
BB629,11:43:00,11:43:00,HLN,4,,0,0,29904.91462958,1
BB629,12:03:00,12:03:00,ML,5,,0,0,44089.09334116,1
BB629,12:36:00,12:36:00,SFN,6,,0,0,67916.69373937,1
BB633,11:40:00,11:40:00,MVN,1,,0,0,0.00000000,1
BB633,11:59:00,11:59:00,PAN,2,,0,0,10635.47059944,1
BB633,12:22:00,12:22:00,RC,3,,0,0,18284.42254921,1
BB633,12:43:00,12:43:00,HLN,4,,0,0,29904.91462958,1
BB633,13:03:00,13:03:00,ML,5,,0,0,44089.09334116,1
BB633,13:36:00,13:36:00,SFN,6,,0,0,67916.69373937,1
307,15:20:00,15:20:00,70261,1,,0,0,0.00000000,1
307,15:24:00,15:24:00,70251,2,,0,0,1891.83772937,1
307,15:31:00,15:31:00,70231,3,,0,0,10027.81963050,1
307,15:36:00,15:36:00,70221,4,,0,0,13216.82710245,1
307,15:41:00,15:41:00,70211,5,,0,0,17527.64062332,1
307,15:44:00,15:44:00,70201,6,,0,0,20635.13139420,1
307,15:49:00,15:49:00,70191,7,,0,0,24575.68671143,1
307,15:53:00,15:53:00,70171,8,,0,0,27123.63303088,1
307,15:56:00,15:56:00,70161,9,,0,0,29143.62616626,1
307,16:02:00,16:02:00,70141,10,,0,0,34742.88362356,1
307,16:08:00,16:08:00,70121,11,,0,0,40219.24394915,1
307,16:12:00,16:12:00,70111,12,,0,0,43551.34853186,1
307,16:20:00,16:20:00,70061,13,,0,0,53670.42004740,1
307,16:27:00,16:27:00,70041,14,,0,0,60790.72220932,1
307,16:36:00,16:36:00,70021,15,,0,0,72881.09911027,1
307,16:41:00,16:41:00,70011,16,,0,0,75402.83572273,1
312,17:27:00,17:27:00,70012,1,,0,0,0.00000000,1
312,17:40:00,17:40:00,70042,2,,0,0,14615.55554576,1
312,17:46:00,17:46:00,70062,3,,0,0,21730.89169627,1
312,17:55:00,17:55:00,70112,4,,0,0,31857.27868557,1
312,17:59:00,17:59:00,70122,5,,0,0,35190.59885162,1
312,18:05:00,18:05:00,70142,6,,0,0,40667.52655472,1
312,18:10:00,18:10:00,70162,7,,0,0,46270.78778535,1
312,18:14:00,18:14:00,70172,8,,0,0,48282.17010004,1
312,18:18:00,18:18:00,70192,9,,0,0,50830.44000481,1
312,18:22:00,18:22:00,70202,10,,0,0,54770.12511577,1
312,18:27:00,18:27:00,70212,11,,0,0,57878.53939113,1
312,18:32:00,18:32:00,70222,12,,0,0,62191.05681128,1
312,18:36:00,18:36:00,70232,13,,0,0,65381.00058473,1
312,18:50:00,18:50:00,70262,14,,0,0,75426.53472841,1
312,18:57:00,18:57:00,70272,15,,0,0,78317.15016389,1
309,16:21:00,16:21:00,70261,1,,0,0,0.00000000,1
309,16:31:00,16:31:00,70231,2,,0,0,10037.74203270,1
309,16:35:00,16:35:00,70221,3,,0,0,13226.74950465,1
309,16:40:00,16:40:00,70211,4,,0,0,17537.56302552,1
309,16:44:00,16:44:00,70201,5,,0,0,20645.05379641,1
309,16:48:00,16:48:00,70191,6,,0,0,24585.60911364,1
309,16:52:00,16:52:00,70171,7,,0,0,27133.55543309,1
309,16:56:00,16:56:00,70161,8,,0,0,29153.54856846,1
309,17:01:00,17:01:00,70141,9,,0,0,34752.80602576,1
309,17:07:00,17:07:00,70121,10,,0,0,40229.16635135,1
309,17:11:00,17:11:00,70111,11,,0,0,43561.27093406,1
309,17:19:00,17:19:00,70061,12,,0,0,53680.34244961,1
309,17:26:00,17:26:00,70041,13,,0,0,60800.64461153,1
309,17:35:00,17:35:00,70021,14,,0,0,72891.02151247,1
309,17:41:00,17:41:00,70011,15,,0,0,75412.75812494,1
311,17:21:00,17:21:00,70261,1,,0,0,0.00000000,1
311,17:31:00,17:31:00,70231,2,,0,0,10037.74203270,1
311,17:35:00,17:35:00,70221,3,,0,0,13226.74950465,1
311,17:40:00,17:40:00,70211,4,,0,0,17537.56302552,1
311,17:44:00,17:44:00,70201,5,,0,0,20645.05379641,1
311,17:48:00,17:48:00,70191,6,,0,0,24585.60911364,1
311,17:52:00,17:52:00,70171,7,,0,0,27133.55543309,1
311,17:56:00,17:56:00,70161,8,,0,0,29153.54856846,1
311,18:01:00,18:01:00,70141,9,,0,0,34752.80602576,1
311,18:07:00,18:07:00,70121,10,,0,0,40229.16635135,1
311,18:11:00,18:11:00,70111,11,,0,0,43561.27093406,1
311,18:19:00,18:19:00,70061,12,,0,0,53680.34244961,1
311,18:26:00,18:26:00,70041,13,,0,0,60800.64461153,1
311,18:35:00,18:35:00,70021,14,,0,0,72891.02151247,1
311,18:41:00,18:41:00,70011,15,,0,0,75412.75812494,1
313,18:21:00,18:21:00,70261,1,,0,0,0.00000000,1
313,18:31:00,18:31:00,70231,2,,0,0,10037.74203270,1
313,18:35:00,18:35:00,70221,3,,0,0,13226.74950465,1
313,18:40:00,18:40:00,70211,4,,0,0,17537.56302552,1
313,18:44:00,18:44:00,70201,5,,0,0,20645.05379641,1
313,18:48:00,18:48:00,70191,6,,0,0,24585.60911364,1
313,18:52:00,18:52:00,70171,7,,0,0,27133.55543309,1
313,18:56:00,18:56:00,70161,8,,0,0,29153.54856846,1
313,19:01:00,19:01:00,70141,9,,0,0,34752.80602576,1
313,19:07:00,19:07:00,70121,10,,0,0,40229.16635135,1
313,19:11:00,19:11:00,70111,11,,0,0,43561.27093406,1
313,19:19:00,19:19:00,70061,12,,0,0,53680.34244961,1
313,19:26:00,19:26:00,70041,13,,0,0,60800.64461153,1
313,19:35:00,19:35:00,70021,14,,0,0,72891.02151247,1
313,19:41:00,19:41:00,70011,15,,0,0,75412.75812494,1
308,15:28:00,15:28:00,70012,1,,0,0,0.00000000,1
308,15:41:00,15:41:00,70042,2,,0,0,14615.55554576,1
308,15:47:00,15:47:00,70062,3,,0,0,21730.89169627,1
308,15:56:00,15:56:00,70112,4,,0,0,31857.27868557,1
308,16:00:00,16:00:00,70122,5,,0,0,35190.59885162,1
308,16:06:00,16:06:00,70142,6,,0,0,40667.52655472,1
308,16:11:00,16:11:00,70162,7,,0,0,46270.78778535,1
308,16:15:00,16:15:00,70172,8,,0,0,48282.17010004,1
308,16:19:00,16:19:00,70192,9,,0,0,50830.44000481,1
308,16:23:00,16:23:00,70202,10,,0,0,54770.12511577,1
308,16:28:00,16:28:00,70212,11,,0,0,57878.53939113,1
308,16:33:00,16:33:00,70222,12,,0,0,62191.05681128,1
308,16:37:00,16:37:00,70232,13,,0,0,65381.00058473,1
308,16:49:00,16:49:00,70262,14,,0,0,75426.53472841,1
308,16:55:00,16:55:00,70272,15,,0,0,78317.15016376,1
308,17:02:00,17:02:00,70282,16,,0,0,83316.36174407,1
308,17:08:00,17:08:00,70292,17,,0,0,88620.56416809,1
308,17:21:00,17:21:00,70302,18,,0,0,107671.32953292,1
308,17:27:00,17:27:00,70312,19,,0,0,113588.87903297,1
308,17:40:00,17:40:00,70322,20,,0,0,123650.47375501,1
310,16:27:00,16:27:00,70012,1,,0,0,0.00000000,1
310,16:40:00,16:40:00,70042,2,,0,0,14615.55554576,1
310,16:46:00,16:46:00,70062,3,,0,0,21730.89169627,1
310,16:55:00,16:55:00,70112,4,,0,0,31857.27868557,1
310,16:59:00,16:59:00,70122,5,,0,0,35190.59885162,1
310,17:05:00,17:05:00,70142,6,,0,0,40667.52655472,1
310,17:10:00,17:10:00,70162,7,,0,0,46270.78778535,1
310,17:14:00,17:14:00,70172,8,,0,0,48282.17010004,1
310,17:18:00,17:18:00,70192,9,,0,0,50830.44000481,1
310,17:22:00,17:22:00,70202,10,,0,0,54770.12511577,1
310,17:27:00,17:27:00,70212,11,,0,0,57878.53939113,1
310,17:32:00,17:32:00,70222,12,,0,0,62191.05681128,1
310,17:36:00,17:36:00,70232,13,,0,0,65381.00058473,1
310,17:49:00,17:49:00,70262,14,,0,0,75426.53472841,1
310,17:55:00,17:55:00,70272,15,,0,0,78317.15016376,1
310,18:02:00,18:02:00,70282,16,,0,0,83316.36174407,1
310,18:08:00,18:08:00,70292,17,,0,0,88620.56416809,1
310,18:21:00,18:21:00,70302,18,,0,0,107671.32953292,1
310,18:27:00,18:27:00,70312,19,,0,0,113588.87903297,1
310,18:40:00,18:40:00,70322,20,,0,0,123650.47375501,1
303,6:29:00,6:29:00,70321,1,,0,0,0.00000000,1
303,6:38:00,6:38:00,70311,2,,0,0,9881.41415530,1
303,6:44:00,6:44:00,70301,3,,0,0,15979.11320253,1
303,6:59:00,6:59:00,70291,4,,0,0,35028.53945594,1
303,7:05:00,7:05:00,70281,5,,0,0,40330.97147993,1
303,7:12:00,7:12:00,70271,6,,0,0,45318.22269336,1
303,7:21:00,7:21:00,70261,7,,0,0,48219.55939113,1
303,7:31:00,7:31:00,70231,8,,0,0,58263.86236307,1
303,7:35:00,7:35:00,70221,9,,0,0,61452.86983502,1
303,7:40:00,7:40:00,70211,10,,0,0,65763.68335589,1
303,7:44:00,7:44:00,70201,11,,0,0,68871.17412677,1
303,7:48:00,7:48:00,70191,12,,0,0,72811.72944400,1
303,7:52:00,7:52:00,70171,13,,0,0,75359.67576345,1
303,7:56:00,7:56:00,70161,14,,0,0,77379.66889883,1
303,8:01:00,8:01:00,70141,15,,0,0,82978.92635613,1
303,8:07:00,8:07:00,70121,16,,0,0,88455.28668172,1
303,8:11:00,8:11:00,70111,17,,0,0,91787.39126443,1
303,8:19:00,8:19:00,70061,18,,0,0,101906.46277998,1
303,8:26:00,8:26:00,70041,19,,0,0,109026.76494189,1
303,8:39:00,8:39:00,70011,20,,0,0,123650.46277759,1
305,7:29:00,7:29:00,70321,1,,0,0,0.00000000,1
305,7:38:00,7:38:00,70311,2,,0,0,9881.41415530,1
305,7:44:00,7:44:00,70301,3,,0,0,15979.11320253,1
305,7:59:00,7:59:00,70291,4,,0,0,35028.53945594,1
305,8:05:00,8:05:00,70281,5,,0,0,40330.97147993,1
305,8:12:00,8:12:00,70271,6,,0,0,45318.22269336,1
305,8:21:00,8:21:00,70261,7,,0,0,48219.55939113,1
305,8:31:00,8:31:00,70231,8,,0,0,58263.86236307,1
305,8:35:00,8:35:00,70221,9,,0,0,61452.86983502,1
305,8:40:00,8:40:00,70211,10,,0,0,65763.68335589,1
305,8:44:00,8:44:00,70201,11,,0,0,68871.17412677,1
