stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_desc,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
22nd_street,22nd_street,22nd Street,37.756972,-122.392492,74223,,,1,,America/Los_Angeles,0,
70021,70021,22nd Street Caltrain Station Northbound,37.757599,-122.39188,74224,,,0,22nd_street,,2,
70022,70022,22nd Street Caltrain Station Southbound,37.757583,-122.392404,74224,,,0,22nd_street,,2,
bayshore,bayshore,Bayshore,37.70766,-122.401665,74223,,https://www.caltrain.com/station/bayshore,1,,America/Los_Angeles,0,
70031,70031,Bayshore Caltrain Station Northbound,37.709537,-122.401586,74224,,,0,bayshore,,1,
70032,70032,Bayshore Caltrain Station Southbound,37.709544,-122.40198,74224,,,0,bayshore,,1,
belmont,belmont,Belmont,37.52133,-122.2763,74223,,,1,,America/Los_Angeles,0,
70121,70121,Belmont Caltrain Station Northbound,37.52089,-122.275738,74225,,,0,belmont,,1,
70122,70122,Belmont Caltrain Station Southbound,37.520844,-122.275816,74225,,,0,belmont,,1,
blossom_hill,blossom_hill,Blossom Hill Caltrain Station,37.252606,-121.797907,74223,,,1,,America/Los_Angeles,0,
70291,70291,Blossom Hill Caltrain Station Northbound,37.252422,-121.797643,74227,,,0,blossom_hill,,1,
70292,70292,Blossom Hill Caltrain Station Southbound,37.252379,-121.797683,74227,,,0,blossom_hill,,1,
broadway,broadway,Broadway,37.58726,-122.362,74223,,,1,,America/Los_Angeles,0,
70071,70071,Broadway Caltrain Station Northbound,37.58764,-122.36265,74225,,,0,broadway,,2,
70072,70072,Broadway Caltrain Station Southbound,37.587552,-122.362708,74225,,,0,broadway,,2,
burlingame,burlingame,Burlingame,37.57985,-122.34418,74223,,,1,,America/Los_Angeles,0,
70081,70081,Burlingame Caltrain Station Northbound,37.580197,-122.3449,74225,,,0,burlingame,,1,
70082,70082,Burlingame Caltrain Station Southbound,37.580186,-122.345075,74225,,,0,burlingame,,1,
california_ave,california_ave,California Avenue,37.428834,-122.14113,74223,,,1,,America/Los_Angeles,0,
70191,70191,California Avenue Caltrain Station Northbound,37.429365,-122.141927,74223,,,0,california_ave,,1,
70192,70192,California Avenue Caltrain Station Southbound,37.429333,-122.141978,74223,,,0,california_ave,,1,
capitol,capitol,Capitol Caltrain Station,37.284016,-121.841899,74223,,,1,,America/Los_Angeles,0,
70281,70281,Capitol Caltrain Station Northbound,37.284102,-121.841955,74227,,,0,capitol,,1,
70282,70282,Capitol Caltrain Station Southbound,37.284062,-121.842037,74227,,,0,capitol,,1,
college_park,college_park,College Park,37.34289,-121.91565,74223,,,1,,America/Los_Angeles,0,
70251,70251,College Park Caltrain Station Northbound,37.342384,-121.9146,74226,,,0,college_park,,2,
70252,70252,College Park Caltrain Station Southbound,37.342338,-121.914677,74226,,,0,college_park,,2,
BAY-02-NB,BAY-02-NB,Elevator: Bayshore Caltrain Station Northbound,37.70764197,-122.4016822,74223,,,2,bayshore,,1,
BAY-01-SB,BAY-01-SB,Elevator: Bayshore Caltrain Station Southbound,37.70764232,-122.4019772,74223,,,2,bayshore,,1,
BEL-01-CB,BEL-01-CB,Elevator: Belmont Caltrain Station Center Board,37.52129457,-122.2763594,74223,,,2,belmont,,1,
MIL-03-NB,MIL-03-NB,Elevator: Millbrae Caltrain Station Northbound,37.60005351,-122.3867681,74223,,,2,place_MLBR,,1,
MIL-02-SB,MIL-02-SB,Elevator: Millbrae Caltrain Station Southbound,37.60001734,-122.3870719,74223,,,2,place_MLBR,,1,
SBR-02-NB,SBR-02-NB,Elevator: San Bruno Caltrain Station Northbound,37.63093676,-122.4116373,74223,,,2,san_bruno,,1,
SBR-01-SB,SBR-01-SB,Elevator: San Bruno Caltrain Station Southbound,37.63101455,-122.4120764,74223,,,2,san_bruno,,1,
SJD-01-STB,SJD-01-STB,Elevator: San Jose Diridon Caltrain Station Building,37.32972911,-121.9026427,74223,,,2,sj_diridon,,1,
SMT-01-NB,SMT-01-NB,Elevator: San Mateo Caltrain Station Northbound,37.56824861,-122.3238951,74223,,,2,san_mateo,,1,
SMT-02-SB,SMT-02-SB,Elevator: San Mateo Caltrain Station Southbound,37.56812106,-122.3240982,74223,,,2,san_mateo,,1,
TAM-01-CB,TAM-01-CB,Elevator: Tamien Caltrain Station Center Board,37.31280745,-121.8848646,74223,,,2,tamien,,1,
gilroy,gilroy,Gilroy,37.004466,-121.566727,74223,,,1,,America/Los_Angeles,0,
70321,70321,Gilroy Caltrain Station Northbound,37.003538,-121.566088,74228,,,0,gilroy,,1,
70322,70322,Gilroy Caltrain Station Southbound,37.003485,-121.566225,74228,,,0,gilroy,,1,
hayward_park,hayward_park,Hayward Park,37.553161,-122.309494,74223,,,1,,America/Los_Angeles,0,
70101,70101,Hayward Park Caltrain Station Northbound,37.552938,-122.309338,74225,,,0,hayward_park,,1,
70102,70102,Hayward Park Caltrain Station Southbound,37.552994,-122.309608,74225,,,0,hayward_park,,1,
hillsdale,hillsdale,Hillsdale,37.5423926779,-122.3016120605,74223,,,1,,America/Los_Angeles,0,
70111,70111,Hillsdale Caltrain Station Northbound,37.542607659,-122.3014966366,74225,,,0,hillsdale,,0,
70112,70112,Hillsdale Caltrain Station Southbound,37.542536,-122.301666,74225,,,0,hillsdale,,0,
lawrence,lawrence,Lawrence,37.3707,-121.9969,74223,,,1,,America/Los_Angeles,0,
70231,70231,Lawrence Caltrain Station Northbound,37.370598,-121.997114,74226,,,0,lawrence,,1,
70232,70232,Lawrence Caltrain Station Southbound,37.370484,-121.997135,74226,,,0,lawrence,,1,
menlo_park,menlo_park,Menlo Park,37.4548,-122.18245,74223,,,1,,America/Los_Angeles,0,
70161,70161,Menlo Park Caltrain Station Northbound,37.454856,-122.182297,74223,,,0,menlo_park,,1,
70162,70162,Menlo Park Caltrain Station Southbound,37.454745,-122.182405,74223,,,0,menlo_park,,1,
place_MLBR,place_MLBR,Millbrae,37.5999,-122.38675,74223,,,1,,America/Los_Angeles,0,
70061,70061,Millbrae Caltrain Station Northbound,37.59988,-122.386647,74225,,,0,place_MLBR,,1,
70062,70062,Millbrae Caltrain Station Southbound,37.599797,-122.386832,74225,,,0,place_MLBR,,1,
morgan_hill,morgan_hill,Morgan Hill,37.129644,-121.650558,74223,,,1,,America/Los_Angeles,0,
70301,70301,Morgan Hill Caltrain Station Northbound,37.129363,-121.650244,74228,,,0,morgan_hill,,1,
70302,70302,Morgan Hill Caltrain Station Southbound,37.129321,-121.650304,74228,,,0,morgan_hill,,1,
mountain_view,mountain_view,Mountain View,37.395067,-122.07722,74223,,,1,,America/Los_Angeles,0,
70211,70211,Mountain View Caltrain Station Northbound,37.394459,-122.075956,74223,,,0,mountain_view,,1,
70212,70212,Mountain View Caltrain Station Southbound,37.394402,-122.075994,74223,,,0,mountain_view,,1,
palo_alto,palo_alto,Palo Alto,37.44322,-122.16429,74223,,,1,,America/Los_Angeles,0,
70171,70171,Palo Alto Caltrain Station Northbound,37.443475,-122.164614,74223,,,0,palo_alto,,1,
70172,70172,Palo Alto Caltrain Station Southbound,37.443405,-122.164697,74223,,,0,palo_alto,,1,
redwood_city,redwood_city,Redwood City,37.485865,-122.2315,74223,,,1,,America/Los_Angeles,0,
70141,70141,Redwood City Caltrain Station Northbound,37.486159,-122.231936,74225,,,0,redwood_city,,1,
70142,70142,Redwood City Caltrain Station Southbound,37.486101,-122.232,74225,,,0,redwood_city,,1,
san_antonio,san_antonio,San Antonio,37.4072394315,-122.1071155621,74223,,,1,,America/Los_Angeles,0,
70201,70201,San Antonio Caltrain Station Northbound,37.4073321574,-122.1070020272,74223,,,0,san_antonio,,1,
70202,70202,San Antonio Caltrain Station Southbound,37.4072397241,-122.1071162171,74223,,,0,san_antonio,,1,
san_bruno,san_bruno,San Bruno Caltrain Station,37.6304603353,-122.4117090415,74223,,,1,,America/Los_Angeles,0,
70051,70051,San Bruno Caltrain Station Northbound,37.6304996012,-122.4115926041,74224,,,0,san_bruno,,1,
70052,70052,San Bruno Caltrain Station Southbound,37.6304605129,-122.4117090507,74224,,,0,san_bruno,,1,
san_carlos,san_carlos,San Carlos,37.508033,-122.2602,74223,,,1,,America/Los_Angeles,0,
70131,70131,San Carlos Caltrain Station Northbound,37.50805,-122.26015,74225,,,0,san_carlos,,1,
70132,70132,San Carlos Caltrain Station Southbound,37.507933,-122.260266,74225,,,0,san_carlos,,1,
san_francisco,san_francisco,San Francisco Caltrain Station,37.776404,-122.394911,74223,,,1,,America/Los_Angeles,0,
70011,70011,San Francisco Caltrain Station Northbound,37.77639,-122.394992,74224,,,0,san_francisco,,1,
70012,70012,San Francisco Caltrain Station Southbound,37.776348,-122.394935,74224,,,0,san_francisco,,1,
sj_diridon,sj_diridon,San Jose Diridon,37.329694,-121.903208,74223,,,1,,America/Los_Angeles,0,
70261,70261,San Jose Diridon Caltrain Station Northbound,37.329239,-121.903011,74226,,,0,sj_diridon,,1,
70262,70262,San Jose Diridon Caltrain Station Southbound,37.329231,-121.903173,74226,,,0,sj_diridon,,1,
777402,777402,San Jose Shuttle,37.330196,-121.901985,74223,,,0,,America/Los_Angeles,1,
san_martin,san_martin,San Martin,37.085984,-121.61048,74223,,,1,,America/Los_Angeles,0,
70311,70311,San Martin Caltrain Station Northbound,37.085225,-121.610049,74228,,,0,san_martin,,1,
70312,70312,San Martin Caltrain Station Southbound,37.086653,-121.610936,74228,,,0,san_martin,,1,
san_mateo,san_mateo,San Mateo,37.56824,-122.3239,74223,,,1,,America/Los_Angeles,0,
