route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
Bus Bridge,79932,BB624,Mountain View (San Jose),1,,p_1436671,BB624,,
Bus Bridge,79932,BB628,Mountain View (San Jose),1,,p_1436671,BB628,,
Bus Bridge,79932,BB632,Mountain View (San Jose),1,,p_1436671,BB632,,
Bus Bridge,79932,BB621,San Francisco,0,,p_1436670,BB621,,
Bus Bridge,79932,BB625,San Francisco,0,,p_1436670,BB625,,
Bus Bridge,79932,BB629,San Francisco,0,,p_1436670,BB629,,
Bus Bridge,79932,BB633,San Francisco,0,,p_1436670,BB633,,
L3,72982,307,San Francisco,0,,p_1425705,307,,
L3,72982,312,Tamien,1,,p_1425796,312,,
L3,72982,309,San Francisco,0,,p_1425703,309,,
L3,72982,311,San Francisco,0,,p_1425703,311,,
L3,72982,313,San Francisco,0,,p_1425703,313,,
L3,72982,308,Gilroy,1,,p_1425699,308,,
L3,72982,310,Gilroy,1,,p_1425699,310,,
L3,72982,303,San Francisco,0,,p_1425694,303,,
L3,72982,305,San Francisco,0,,p_1425694,305,,
L3,72982,314,Tamien,1,,p_1425701,314,,
L3,72982,302,San Jose Diridon,1,,p_1425700,302,,
L3,72982,304,San Jose Diridon,1,,p_1425700,304,,
L3,72982,306,San Jose Diridon,1,,p_1425700,306,,
L3,72982,301,San Francisco,0,,p_1425696,301,,
L4,72982,408,Gilroy,1,,p_1277285,408,,
L4,72982,401,San Francisco,0,,p_1277360,401,,
L4,72982,402,San Jose Diridon,1,,p_1277362,402,,
L4,72982,404,San Jose Diridon,1,,p_1277362,404,,
L4,72982,406,San Jose Diridon,1,,p_1277362,406,,
L4,72982,412,San Jose Diridon,1,,p_1277362,412,,
L4,72982,414,San Jose Diridon,1,,p_1277362,414,,
L4,72982,407,San Francisco,0,,p_1277361,407,,
L4,72982,409,San Francisco,0,,p_1277361,409,,
L4,72982,411,San Francisco,0,,p_1277361,411,,
L4,72982,413,San Francisco,0,,p_1277361,413,,
L4,72982,415,San Francisco,0,,p_1277361,415,,
L4,72982,403,San Francisco,0,,p_1277284,403,,
L4,72982,405,San Francisco,0,,p_1277432,405,,
L4,72982,410,Gilroy,1,,p_1277405,410,,
L5,72982,501,San Francisco,0,,p_1277346,501,,
L5,72982,502,San Jose Diridon,1,,p_1277350,502,,
L5,72982,504,San Jose Diridon,1,,p_1277350,504,,
L5,72982,506,San Jose Diridon,1,,p_1277350,506,,
L5,72982,508,San Jose Diridon,1,,p_1277350,508,,
L5,72982,510,San Jose Diridon,1,,p_1277350,510,,
L5,72982,512,San Jose Diridon,1,,p_1277350,512,,
L5,72982,514,San Jose Diridon,1,,p_1277350,514,,
L5,72982,516,San Jose Diridon,1,,p_1277350,516,,
L5,72982,518,San Jose Diridon,1,,p_1277350,518,,
L5,72982,503,San Francisco,0,,p_1277345,503,,
L5,72982,505,San Francisco,0,,p_1277345,505,,
L5,72982,507,San Francisco,0,,p_1277345,507,,
L5,72982,509,San Francisco,0,,p_1277345,509,,
L5,72982,511,San Francisco,0,,p_1277345,511,,
L5,72982,513,San Francisco,0,,p_1277345,513,,
L5,72982,515,San Francisco,0,,p_1277345,515,,
L2,79932,B624,Tamien,1,,p_1427049,B624,,
L2,79932,B628,Tamien,1,,p_1427049,B628,,
L2,79932,B632,Tamien,1,,p_1427049,B632,,
L2,79932,B621,San Francisco,0,,p_1427046,B621,,
L2,79932,B625,San Francisco,0,,p_1427046,B625,,
L2,79932,B629,San Francisco,0,,p_1427046,B629,,
L2,79932,B633,San Francisco,0,,p_1427046,B633,,
L2,79159,603,,0,,p_1437054,603,,
L2,79159,601,,0,,p_1437052,601,,
L2,72981,221,San Francisco,0,,p_1277380,221,,
L2,72981,225,San Francisco,0,,p_1277380,225,,
L2,72981,229,San Francisco,0,,p_1277380,229,,
L2,72981,233,San Francisco,0,,p_1277380,233,,
L2,72981,241,San Francisco,0,,p_1277380,241,,
L2,79932,B241,San Francisco,0,,p_1277380,B241,,
L2,72981,249,San Francisco,0,,p_1277380,249,,
L2,79932,B249,San Francisco,0,,p_1277380,B249,,
L2,72981,257,San Francisco,0,,p_1277380,257,,
L2,79932,B257,San Francisco,0,,p_1277380,B257,,
L2,72981,265,San Francisco,0,,p_1277380,265,,
L2,79932,B265,San Francisco,0,,p_1277380,B265,,
L2,72981,273,San Francisco,0,,p_1277380,273,,
L2,79932,B273,San Francisco,0,,p_1277380,B273,,
L2,72981,281,San Francisco,0,,p_1277380,281,,
L2,72981,224,Tamien,1,,p_1277383,224,,
L2,72981,228,Tamien,1,,p_1277383,228,,
L2,72981,232,Tamien,1,,p_1277383,232,,
L2,72981,240,Tamien,1,,p_1277383,240,,
L2,79932,B240,Tamien,1,,p_1277383,B240,,
L2,72981,248,Tamien,1,,p_1277383,248,,
L2,79932,B248,Tamien,1,,p_1277383,B248,,
L2,72981,256,Tamien,1,,p_1277383,256,,
L2,79932,B256,Tamien,1,,p_1277383,B256,,
L2,72981,264,Tamien,1,,p_1277383,264,,
L2,79932,B264,Tamien,1,,p_1277383,B264,,
L2,72981,272,Tamien,1,,p_1277383,272,,
L2,79932,B272,Tamien,1,,p_1277383,B272,,
L2,72981,280,Tamien,1,,p_1277383,280,,
L2,72981,284,Tamien,1,,p_1277383,284,,
L2,72981,236,San Jose Diridon,1,,p_1277382,236,,
L2,79932,B236,San Jose Diridon,1,,p_1277382,B236,,
L2,72981,244,San Jose Diridon,1,,p_1277382,244,,
L2,79932,B244,San Jose Diridon,1,,p_1277382,B244,,
L2,72981,252,San Jose Diridon,1,,p_1277382,252,,
L2,79932,B252,San Jose Diridon,1,,p_1277382,B252,,
L2,72981,260,San Jose Diridon,1,,p_1277382,260,,
L2,79932,B260,San Jose Diridon,1,,p_1277382,B260,,
L2,72981,268,San Jose Diridon,1,,p_1277382,268,,
L2,79932,B268,San Jose Diridon,1,,p_1277382,B268,,
L2,72981,276,San Jose Diridon,1,,p_1277382,276,,
L2,79932,B276,San Jose Diridon,1,,p_1277382,B276,,
L2,79932,B680,San Jose Diridon,1,,p_1277382,B680,,
L2,72981,237,San Francisco,0,,p_1277381,237,,
L2,79932,B237,San Francisco,0,,p_1277381,B237,,
L2,72981,245,San Francisco,0,,p_1277381,245,,
L2,79932,B245,San Francisco,0,,p_1277381,B245,,
L2,72981,253,San Francisco,0,,p_1277381,253,,
L2,79932,B253,San Francisco,0,,p_1277381,B253,,
L2,72981,261,San Francisco,0,,p_1277381,261,,
L2,79932,B261,San Francisco,0,,p_1277381,B261,,
L2,72981,269,San Francisco,0,,p_1277381,269,,
L2,79932,B269,San Francisco,0,,p_1277381,B269,,
L2,72981,277,San Francisco,0,,p_1277381,277,,
L2,79932,B277,San Francisco,0,,p_1277381,B277,,
L1,72982,101,San Francisco,0,,p_1277305,101,,
L1,72982,109,San Francisco,0,,p_1277305,109,,
L1,72982,111,San Francisco,0,,p_1277305,111,,
L1,72982,115,San Francisco,0,,p_1277305,115,,
L1,72982,119,San Francisco,0,,p_1277305,119,,
L1,72982,123,San Francisco,0,,p_1277305,123,,
L1,72982,127,San Francisco,0,,p_1277305,127,,
L1,72982,129,San Francisco,0,,p_1277305,129,,
L1,72982,131,San Francisco,0,,p_1277305,131,,
L1,72982,133,San Francisco,0,,p_1277305,133,,
L1,72982,137,San Francisco,0,,p_1277305,137,,
L1,72982,141,San Francisco,0,,p_1277305,141,,
L1,72982,145,San Francisco,0,,p_1277305,145,,
L1,72982,103,San Francisco,0,,p_1277302,103,,
L1,72982,105,San Francisco,0,,p_1277302,105,,
L1,72982,107,San Francisco,0,,p_1277302,107,,
L1,72982,113,San Francisco,0,,p_1277302,113,,
L1,72982,117,San Francisco,0,,p_1277302,117,,
L1,72982,121,San Francisco,0,,p_1277302,121,,
L1,72982,125,San Francisco,0,,p_1277302,125,,
L1,72982,135,San Francisco,0,,p_1277302,135,,
L1,72982,139,San Francisco,0,,p_1277302,139,,
L1,72982,143,San Francisco,0,,p_1277302,143,,
L1,72982,106,Tamien,1,,p_1277419,106,,
L1,72982,104,Tamien,1,,p_1277318,104,,
L1,72982,110,Tamien,1,,p_1277318,110,,
L1,72982,114,Tamien,1,,p_1277318,114,,
L1,72982,118,Tamien,1,,p_1277318,118,,
L1,72982,122,Tamien,1,,p_1277318,122,,
L1,72982,124,Tamien,1,,p_1277318,124,,
L1,72982,126,Tamien,1,,p_1277318,126,,
L1,72982,128,Tamien,1,,p_1277318,128,,
L1,72982,130,Tamien,1,,p_1277318,130,,
L1,72982,132,Tamien,1,,p_1277318,132,,
L1,72982,134,Tamien,1,,p_1277318,134,,
L1,72982,138,Tamien,1,,p_1277318,138,,
L1,72982,142,Tamien,1,,p_1277318,142,,
L1,72982,146,Tamien,1,,p_1277318,146,,
L1,72982,102,San Jose Diridon,1,,p_1277323,102,,
L1,72982,108,San Jose Diridon,1,,p_1277323,108,,
L1,72982,112,San Jose Diridon,1,,p_1277323,112,,
L1,72982,116,San Jose Diridon,1,,p_1277323,116,,
