Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
06:37      Red-N           Richmond                                 07:26
06:57      Red-N           Richmond                                 07:46
07:17      Red-N           Richmond                                 08:06
07:37      Red-N           Richmond                                 08:26
07:57      Red-N           Richmond                                 08:46
08:17      Red-N           Richmond                                 09:06
08:37      Red-N           Richmond                                 09:26
08:57      Red-N           Richmond                                 09:46
09:17      Red-N           Richmond                                 10:06
09:37      Red-N           Richmond                                 10:26
09:57      Red-N           Richmond                                 10:46
10:17      Red-N           Richmond                                 11:06
10:37      Red-N           Richmond                                 11:26
10:57      Red-N           Richmond                                 11:46
11:17      Red-N           Richmond                                 12:06
11:37      Red-N           Richmond                                 12:26
11:57      Red-N           Richmond                                 12:46
12:17      Red-N           Richmond                                 13:06
12:37      Red-N           Richmond                                 13:26
12:57      Red-N           Richmond                                 13:46
13:17      Red-N           Richmond                                 14:06
13:37      Red-N           Richmond                                 14:26
13:57      Red-N           Richmond                                 14:46
14:17      Red-N           Richmond                                 15:06
14:37      Red-N           Richmond                                 15:26
14:57      Red-N           Richmond                                 15:46
15:17      Red-N           Richmond                                 16:06
15:37      Red-N           Richmond                                 16:26
15:57      Red-N           Richmond                                 16:46
16:17      Red-N           Richmond                                 17:06
16:37      Red-N           Richmond                                 17:26
16:57      Red-N           Richmond                                 17:46
17:17      Red-N           Richmond                                 18:06
17:37      Red-N           Richmond                                 18:26
17:57      Red-N           Richmond                                 18:46
18:17      Red-N           Richmond                                 19:06
18:37      Red-N           Richmond                                 19:26
18:57      Red-N           Richmond                                 19:46
19:17      Red-N           Richmond                                 20:06
19:37      Red-N           Richmond                                 20:26
19:57      Red-N           Richmond                                 20:46
20:17      Red-N           Richmond                                 21:06
20:37      Red-N           Richmond                                 21:26
20:57      Red-N           Richmond                                 21:46
21:17      Red-N           Richmond                                 22:06

Departure table for Balboa Park
Time       Line            Next Stop                                Next Stop Time
05:44      Red-S           Daly City                                05:48
06:04      Red-S           Daly City                                06:08
06:24      Red-S           Daly City                                06:28
06:44      Red-S           Daly City                                06:48
07:04      Red-S           Daly City                                07:08
07:24      Red-S           Daly City                                07:28
07:44      Red-S           Daly City                                07:48
08:04      Red-S           Daly City                                08:08
08:24      Red-S           Daly City                                08:28
08:44      Red-S           Daly City                                08:48
09:04      Red-S           Daly City                                09:08
09:24      Red-S           Daly City                                09:28
09:44      Red-S           Daly City                                09:48
10:04      Red-S           Daly City                                10:08
10:24      Red-S           Daly City                                10:28
